,baseMean,log2FoldChange,lfcSE,pvalue,padj
RNF17,11.69494513,1.451309529,0.356110729,0.001248708,0.005445356
TPTE2P1,9.269379274,1.158953722,0.597377154,0.004238426,0.014662566
ATP8A2,6.374775503,1.593655041,0.511838534,0.00013946,0.000913662
SHISA2,4.975580669,1.317899418,0.556190405,1.89E-05,0.000176195
PLUT,2.649751642,1.348717146,1.35030816,0.009693296,0.028665196
PDX1,11.34273493,3.010747169,0.796727756,4.62E-06,5.55E-05
MTUS2,28.35837506,-2.34595109,0.571682218,4.77E-06,5.68E-05
BRCA2,276.1450072,1.288757924,0.246433091,1.67E-08,5.17E-07
RFC3,214.7943993,1.073844972,0.168763477,3.00E-11,2.18E-09
POSTN,560.6720651,1.564907196,0.524882616,0.000145182,0.000944368
ENOX1,26.37802049,1.029355894,0.331170668,0.000261905,0.001522753
HTR2A-AS1,7.254570627,-1.135968789,0.397325123,0.000694276,0.003392555
LOC107984594,4.502394436,-1.37549996,0.510402118,0.000836109,0.003936144
LOC105370195,5.036093072,-1.516588874,0.502522288,0.000296174,0.001681737
DLEU1-AS1,18.17519284,2.239942144,0.70315651,4.36E-05,0.0003538
LOC107984568,17.85034233,2.097329702,0.668321863,5.74E-05,0.000442581
LOC107984567,117.9091024,1.157922074,0.38541362,0.00026481,0.001536681
GUCY1B2,10.41436569,2.708482991,0.728279206,6.28E-06,7.17E-05
CKAP2,271.1569281,1.837977385,0.265339568,2.80E-13,3.35E-11
LINC00345,2.719358956,2.653217313,0.754831532,1.97E-05,0.000182389
TPTE2P3,5.557049959,2.705597428,0.688417957,4.53E-06,5.45E-05
PCDH17,263.8489576,1.13204101,0.24615977,5.29E-07,9.15E-06
DIAPH3,76.8865828,3.585428404,0.37360262,2.59E-23,3.82E-20
DIAPH3-AS1,4.443599021,2.890517674,0.611980997,2.62E-07,5.09E-06
PCDH20,53.85734599,-1.563002321,0.625096077,0.001441151,0.006115568
LINC00355,24.19766385,6.944872687,1.614551983,3.78E-08,1.04E-06
PCDH9-AS2,6.827336194,-2.010071812,0.524598785,1.42E-05,0.000139865
LOC780529,3.65411384,1.025400187,1.350729835,0.013709139,0.037763719
POU4F1,13.3488248,1.169118712,1.117599073,0.009469298,0.028095497
SLITRK6,15.3559345,-2.093925322,0.553554623,1.80E-05,0.00016947
SLITRK5,15.24376881,3.575169364,1.090518224,1.77E-05,0.000167035
LOC112268106,34.85062543,4.15518896,0.897899316,5.85E-08,1.49E-06
LINC00397,9.653315752,5.22506548,1.350305522,8.13E-07,1.30E-05
LOC105370307,6.69488399,7.988630204,2.966635369,1.27E-05,0.000127833
LINC00559,7.257623884,3.914775838,1.58448503,0.000193154,0.001186154
GPC5-AS2,3.364623421,1.157940528,1.199446008,0.011973409,0.033873045
DCT,13.05281598,-1.085065976,0.365721061,0.00056247,0.002848908
ABCC4,465.7093714,2.15093549,0.284843602,2.19E-15,4.47E-13
LOC102724149,8.69326493,2.163624442,0.381626497,1.28E-09,5.68E-08
LOC107984573,74.24946712,-1.058866613,0.221030202,3.63E-07,6.66E-06
RAP2A,815.2945629,1.157910642,0.22308718,2.56E-08,7.39E-07
ZIC5,26.72904943,10.57623152,3.002277715,1.02E-14,1.78E-12
ZIC2,19.80830735,6.575972887,1.011680212,8.72E-16,2.05E-13
LOC107984616,25.90738096,1.092883383,0.488244241,0.002460745,0.009414868
LOC107984615,67.72537983,-1.87622386,0.451270652,4.07E-06,4.99E-05
FGF14-IT1,15.58130038,-1.927171312,0.465970999,4.29E-06,5.22E-05
FGF14-AS1,8.070922529,-2.207186898,0.552934063,7.35E-06,8.14E-05
FGF14-AS2,18.8504069,-1.542617169,0.339556314,7.81E-07,1.26E-05
NALF1,8.412297698,1.082887092,0.380874982,0.000624967,0.003113914
LOC105370353,3.974445254,2.858559208,0.695292954,3.31E-06,4.17E-05
