,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC284600,4.648952971,-1.119853919,0.630487113,0.010157409,0.029725882
LOC100288175,7.257988729,1.231880199,0.430955199,0.000465179,0.002437308
LOC107984868,3.56460623,1.696436579,0.542544996,0.000156174,0.001001972
ANKRD65,22.2707162,2.388296823,0.524602778,2.01E-07,4.08E-06
ANKRD65-AS1,1.36523448,2.074929086,1.262787483,0.004050946,0.01413707
ATAD3C,23.34322326,-1.068196273,0.32398495,0.00019226,0.001182109
TMEM52,6.008804364,-1.478019484,0.373573728,9.13E-06,9.76E-05
CFAP74,7.499624154,-2.812433744,0.577416335,1.31E-07,2.88E-06
GABRD,6.813113393,2.569406717,0.611483425,1.49E-06,2.18E-05
TP73,18.19817289,1.623525949,0.451290719,1.97E-05,0.000182329
TP73-AS3,2.354960078,2.305762615,0.838459721,0.00026281,0.001526844
SMIM1,5.049403627,-1.22694686,0.409865414,0.000407938,0.002184376
LINC01134,7.994904759,1.024339946,0.365928134,0.000781899,0.003734186
HES2,3.044492315,1.657015566,0.88179209,0.002542809,0.009674627
UTS2,10.38578589,1.168834049,0.427345097,0.000680023,0.003332311
LOC105376695,4.917970735,-1.324171782,0.508794196,0.001184835,0.005219433
SLC45A1,16.45540689,1.087024044,0.564952785,0.004759102,0.016100227
SLC2A5,38.03750744,2.416822977,0.59151536,1.32E-06,1.96E-05
RBP7,58.05211483,1.276435128,0.404622079,0.000136796,0.000899969
MASP2,985.5498166,-1.052390168,0.356042115,0.000624184,0.00311063
RNU5E-1,15.78584424,-1.656275862,0.379794688,1.72E-06,2.44E-05
MIR6730,4.594844586,-1.019701716,0.340069542,0.000505096,0.002606717
PRAMEF11,6.041948913,5.975787567,1.516456743,5.93E-08,1.50E-06
PRAMEF4,21.09522507,5.900810569,1.043070899,6.89E-11,4.55E-09
PRAMEF10,116.0976197,4.441061176,0.733808798,1.88E-11,1.43E-09
PRAMEF7,4.237709386,2.731864509,1.019394166,0.00015649,0.001003229
PRAMEF6,2.311548498,4.130396625,1.781751545,0.000887542,0.004125343
PRAMEF25,2.475018924,6.263867366,2.707024347,0.000228376,0.00135663
PRAMEF26,2.240044324,5.937631878,2.798922737,0.00120573,0.005294745
PRAMEF9,2.60170366,6.330749269,2.735031835,0.000248466,0.001458022
PRAMEF5,2.322987593,6.180840758,2.665609034,0.000185906,0.001148387
PRAMEF8,5.172415098,3.090514747,1.011645059,4.70E-05,0.000377422
PRAMEF33,114.5894078,3.986584906,0.776271691,3.96E-09,1.51E-07
PRAMEF15,25.0843623,5.847739863,1.080586771,5.37E-10,2.68E-08
PDPN,33.9037815,1.173812361,0.583697682,0.003235589,0.011786787
KAZN,85.83626465,-1.182673145,0.314327926,3.09E-05,0.000264799
FHAD1,22.13314564,1.275050479,0.400774064,0.000131717,0.000874121
FBLIM1,188.4796384,1.167091432,0.333899766,5.16E-05,0.000405252
EPHA2,305.2542937,-1.536915019,0.280781936,6.73E-09,2.39E-07
RNU1-1,1209.817441,-1.206413117,0.176658319,1.65E-12,1.65E-10
RNU1-3,1121.181375,-1.255000558,0.17558504,1.68E-13,2.21E-11
ESPNP,8.11401658,-1.035000659,0.400671169,0.001804981,0.007344024
RNU1-4,177.276719,-1.226237528,0.189919743,2.04E-11,1.54E-09
RNU1-2,134.2758947,-1.360820343,0.193536684,3.50E-13,4.08E-11
MFAP2,12.83916122,1.4014039,0.696420442,0.00220654,0.008597283
LOC105376806,3.345849337,1.878811982,0.862034314,0.001347852,0.005793132
PADI1,5.968445935,4.091526893,0.764642293,0.00010605,0.000733871
PADI4,8.941134893,-2.485356831,0.487614015,3.75E-08,1.03E-06
AKR7A3,648.3249475,-1.262710441,0.405645677,0.00029693,0.001684507
CDA,95.89817365,-1.047825056,0.338787093,0.000404865,0.002169887
C1QA,920.1659472,-1.211974008,0.330114406,4.30E-05,0.000349354
C1QB,1732.1121,-1.130790231,0.322297949,8.21E-05,0.00059745
EPHB2,65.49391268,1.057501661,0.438449638,0.001715217,0.007032391
E2F2,25.03815814,2.314324608,0.448111652,1.06E-08,3.53E-07
HMGCL,1226.585211,-1.129067613,0.20704535,1.04E-08,3.49E-07
MAN1C1,384.7209091,-1.766099016,0.282483005,5.74E-11,3.88E-09
STMN1,439.1840313,1.816626889,0.309316584,2.51E-10,1.39E-08
MIR3917,10.70006584,1.235460298,0.393719301,0.000178816,0.001112259
LOC101928216,2.195609924,2.504490424,0.751736014,0.002618477,0.009918943
EXTL1,5.241750749,1.691391301,0.715797466,0.00088722,0.004124907
CRYBG2,21.27501769,1.707755329,0.512191451,4.27E-05,0.000347596
SFN,29.24877068,2.904981432,0.693313882,6.94E-07,1.15E-05
NR0B2,260.9261017,-1.220331921,0.297246299,7.25E-06,8.06E-05
TRNP1,92.85398275,1.481461817,0.427627726,3.42E-05,0.000288896
FCN3,539.3850475,-2.508506732,0.543400657,4.90E-07,8.58E-06
SMPDL3B,12.10374336,1.131327198,0.479079768,0.001826474,0.007411044
TAF12-DT,23.44440023,-1.17119932,0.220265359,1.89E-08,5.76E-07
RNU11,16.43384134,-1.334295002,0.262342171,5.55E-08,1.42E-06
LOC105378625,35.06191484,1.590235046,0.607810403,0.000407488,0.002182429
LOC105379772,28.40322686,1.569508263,0.69062573,0.000952255,0.004369786
LDC1P,5.621792136,2.479107191,0.76522799,5.34E-05,0.000417479
LINC01226,7.945755261,1.911826887,0.640679436,0.000138439,0.000909109
ADGRB2,3.73856026,1.175773651,0.688630413,0.006750715,0.021344373
SPOCD1,3.756958829,1.070647588,0.69766872,0.010489221,0.030525244
FAM167B,15.70166381,-1.254837998,0.262113687,2.77E-07,5.31E-06
KIAA1522,290.2254691,1.270408127,0.246193073,2.48E-08,7.18E-07
CSMD2,23.93287901,2.130735531,0.590137207,1.09E-05,0.00011197
LOC105378642,12.86554603,-1.447509314,0.325209494,1.22E-06,1.84E-05
CLSPN,98.84661051,3.056697524,0.445178838,1.81E-13,2.33E-11
GRIK3,2.432519679,-1.190822585,0.796265754,0.014531157,0.039571932
ZC3H12A,159.6194255,-1.047527522,0.21429429,2.31E-07,4.58E-06
CDCA8,44.96580941,2.698090996,0.402518311,8.20E-13,8.83E-11
LINC02811,2.3800699,1.495499323,0.750179217,0.003346001,0.01213439
COL9A2,28.40852748,1.210253685,0.54841832,0.002023553,0.008050579
ZFP69B,60.11432395,1.294510204,0.217856938,3.11E-10,1.67E-08
LOC105378678,3.389322212,2.709181129,0.977498418,0.00013372,0.000883208
RIMKLA,14.41175378,1.041011299,0.348153883,0.000403435,0.002163955
FAM183A,5.56307725,2.850185454,0.9499953,9.14E-05,0.000652112
CDC20-DT,3.134764914,1.025466541,0.479992762,0.004970831,0.016674878
CDC20,59.48109681,3.526511294,0.453588844,2.14E-16,5.66E-14
LINC02918,5.029114833,1.203925349,0.374762851,0.000193696,0.001188896
RNU5F-1,7.017051997,-1.197433048,0.320425079,3.08E-05,0.000264647
RNU5D-1,17.25183169,-1.571827242,0.325194581,1.84E-07,3.80E-06
KIF2C,78.61757557,3.315258519,0.423457476,1.38E-16,3.95E-14
PLK3,105.7193151,-1.263722549,0.253998304,1.18E-07,2.63E-06
DYNLT4,36.79693658,-1.153695832,0.263418358,2.28E-06,3.08E-05
BTBD19,34.33949505,-1.249963705,0.239702066,3.27E-08,9.23E-07
LOC107984952,14.08838313,-1.054125002,0.255688967,7.52E-06,8.29E-05
ZSWIM5,100.3950335,1.620587697,0.378688853,1.12E-06,1.72E-05
CCDC163,10.78898438,1.843426753,0.377307696,8.30E-08,1.98E-06
RAD54L,64.42814725,1.108202987,0.2940101,2.05E-05,0.000188068
CYP4A11,3631.385247,-1.697581547,0.40024796,2.91E-06,3.75E-05
CYP4A22,1212.566419,-1.216708659,0.387510954,0.000284267,0.001628502
PDZK1IP1,95.23777609,1.693393797,0.808389915,0.001132175,0.005034295
STIL,120.7141483,2.437161623,0.322222233,1.53E-15,3.24E-13
FOXD2-AS1,16.62302886,1.768624327,0.355886392,4.72E-08,1.24E-06
FOXD2,8.584250753,1.958684501,0.380368435,2.38E-08,6.95E-07
CDKN2C,84.18179038,1.519364621,0.317443277,1.23E-07,2.72E-06
TTC39A,44.11290902,1.408295193,0.412547341,4.57E-05,0.00036795
RAB3B,257.699779,2.745522109,0.481111505,2.97E-10,1.61E-08
ORC1,49.4299096,2.551432124,0.393255367,3.39E-12,3.13E-10
LOC105378723,25.97011687,1.23952307,0.226844454,6.47E-09,2.32E-07
GPX7,40.96630769,1.154734883,0.394602484,0.0003536,0.001941046
SLC1A7,35.67410031,1.44789449,0.484239768,0.000174981,0.001093555
LRP8,34.07028718,1.285382894,0.38066825,0.003696243,0.013123547
LOC105378728,3.47058459,1.178398056,0.652434117,0.005968188,0.019383091
LOC105378726,12.30223164,1.261180644,0.550162001,0.001615872,0.006705052
LDLRAD1,11.70802376,5.414608664,0.914118891,1.50E-12,1.54E-10
FAM151A,46.00545017,-3.061510377,0.439050358,4.36E-13,5.02E-11
DHCR24-DT,19.07597469,-1.25834416,0.295534744,3.32E-06,4.18E-05
BSND,1.996594025,1.607705334,0.867124206,0.003131323,0.011483652
LINC01767,78.22893084,-2.146416169,0.277969602,1.50E-15,3.21E-13
PLPP3,2395.259602,-1.543984318,0.215157855,1.13E-13,1.55E-11
PRKAA2,411.2267715,1.651525407,0.419206456,4.42E-06,5.34E-05
C8A,5890.086721,-1.434531907,0.323773523,1.46E-06,2.13E-05
C8B,5567.510951,-1.198231504,0.307120935,1.68E-05,0.000159668
LOC105378745,19.38893475,-1.271215784,0.365769313,8.07E-05,0.000589408
JUN,713.1754725,-1.264054431,0.249079849,7.06E-08,1.73E-06
CYP2J2,917.0743467,-1.025336556,0.282607133,6.34E-05,0.000479536
LINC01748,19.10859641,4.875030686,1.343523772,3.77E-06,4.66E-05
LOC101926964,11.11233491,3.292305367,0.812119296,1.45E-06,2.12E-05
LOC105378764,1.973057735,3.344325812,1.436416735,0.003877046,0.013628866
NFIA-AS2,3.682939503,1.52925392,1.255560067,0.006035214,0.019560266
LOC102724319,7.885116924,1.275292815,0.364158574,5.55E-05,0.000430391
DLEU2L,14.65763125,1.219846956,0.286713502,2.74E-06,3.58E-05
PGM1,1991.2051,-1.178198547,0.180334979,1.30E-11,1.04E-09
LOC105378773,14.38632209,3.981863472,0.927309647,1.30E-05,0.000129974
UBE2U,6.929624135,3.92915671,1.526962468,0.001227055,0.00536679
DNAJC6,94.68439843,2.528151288,0.305357063,4.78E-18,2.11E-15
LOC102724416,52.27097,3.085903584,0.316888269,8.16E-24,1.46E-20
LOC112268227,21.62782799,3.020453241,0.383951368,1.79E-16,4.86E-14
SGIP1,99.91625833,1.668574265,0.36177726,2.35E-07,4.65E-06
MIR3117,3.670973895,2.955302949,0.831095019,7.93E-06,8.66E-05
DYNLT5,37.37610574,-1.026718061,0.414453989,0.002548622,0.009693804
LINC01702,93.41308625,-1.594749469,0.437810034,3.61E-05,0.000303177
DIRAS3,34.28666157,-1.06875528,0.366494437,0.000679612,0.003331931
DEPDC1,105.1487544,4.193807142,0.475414654,2.51E-20,2.03E-17
SLC44A5,127.9905294,3.894606402,0.675826948,1.39E-10,8.32E-09
MSH4,7.425475604,1.158648051,0.464658013,0.001331476,0.005735518
ST6GALNAC5,10.39851403,2.192382173,0.907972119,0.000415803,0.002217498
PTGFR,161.4646989,2.209506777,0.463080584,6.36E-08,1.59E-06
LOC101927434,14.63220381,1.013135847,0.585454224,0.007987123,0.024479406
SAMD13,8.674582976,1.173898877,0.340287924,8.21E-05,0.00059745
MCOLN3,35.27516548,2.558611825,0.540990874,2.51E-05,0.000222697
COL24A1,36.97939321,2.605079163,0.548404772,6.39E-08,1.60E-06
CDC7,115.5042282,1.147357824,0.317909401,3.41E-05,0.000288431
EPHX4,2.030082594,2.009354963,1.017156366,0.001018191,0.004614967
LOC105378861,4.438714854,1.316727442,0.576063779,0.001774954,0.007241811
SLC44A3,158.8725318,1.009417711,0.26030021,1.61E-05,0.000154265
LOC101928219,3.706625914,3.242530702,1.292740356,0.00018642,0.001151277
PLPPR4,11.07402566,3.620695872,0.769385838,1.09E-07,2.49E-06
COL11A1,92.68367816,6.097403612,0.856595887,1.68E-14,2.75E-12
LOC100129138,5.77560044,3.031492141,1.021395913,9.27E-05,0.000659917
NBPF4,4.098509624,3.224642723,0.773177558,6.46E-05,0.0004872
NBPF6,3.978446307,2.587821938,0.645410417,0.003638021,0.012969537
CELSR2,104.9159127,1.242562159,0.280346045,9.75E-07,1.53E-05
PSRC1,24.73557259,1.108065224,0.345589505,0.000165444,0.001047784
MYBPHL,4.239951933,1.329847567,0.528974092,0.001180231,0.005205155
SORT1,768.867835,1.450330373,0.298274806,8.96E-08,2.11E-06
EPS8L3,76.57964597,3.065290458,0.610914904,1.31E-08,4.28E-07
KCND3,805.3029817,-1.093915797,0.422262923,0.001671153,0.00687983
KCND3-AS1,14.65559218,-1.065773035,0.440383479,0.0027246,0.010228257
LINC01750,8.434588768,-1.37551212,0.421326764,0.000148813,0.000964365
LOC101928977,2.872462011,1.415588688,0.660184671,0.002502964,0.009545627
SLC22A15,210.2622657,1.672156632,0.348492488,9.26E-08,2.17E-06
LOC105378920,10.90687743,4.378460457,0.931772365,5.01E-08,1.30E-06
LINC01762,3.370465016,1.632579906,0.75206184,0.001679025,0.006908837
LOC105378925,12.48588148,1.259258035,0.387874638,0.000115395,0.000785094
IGSF3,266.4711074,3.632473857,0.409411274,1.45E-20,1.30E-17
LOC105378924,10.41589594,3.371653074,0.572908059,2.80E-10,1.53E-08
TTF2,253.843982,1.150826188,0.195328624,4.92E-10,2.48E-08
TRIM45,54.29943864,2.036754424,0.265080269,8.80E-16,2.05E-13
LINC01780,16.29023855,-1.032559372,0.335549133,0.000421198,0.002242459
HAO2,1331.666796,-2.080399842,0.447482458,4.27E-07,7.64E-06
HAO2-IT1,19.52409787,-1.368661545,0.485701367,0.000658914,0.003250782
HSD3B1,11.26893591,2.011779876,0.685331513,0.000125131,0.000839844
HSD3BP4,36.04744143,1.10648867,0.425910054,0.000965383,0.004421131
PHGDH,465.9342071,-1.466528024,0.299944855,1.58E-07,3.36E-06
HMGCS2,14402.21183,-1.12246895,0.327832677,0.000112328,0.000768205
RNVU1-19,27.09596419,-2.282368544,0.413103556,4.08E-09,1.54E-07
FAM72B,23.49941237,1.813842803,0.435403031,1.71E-06,2.43E-05
LOC107985200,4.964913541,1.991404999,0.691891738,0.000209432,0.001265503
LOC107985201,7.357389755,2.275094985,0.67822946,3.35E-05,0.000284466
RNVU1-18,52.21209708,-1.082939051,0.207100434,3.59E-08,1.00E-06
FAM72C,21.56112623,1.875081687,0.427231189,6.18E-07,1.04E-05
LINC02802,18.27779829,2.334034315,0.591644316,2.85E-06,3.70E-05
RNVU1-15,4.708899607,-1.67847006,0.448794721,2.10E-05,0.000191875
LSP1P5,9.550563687,2.127174461,0.605881899,1.96E-05,0.000181651
FAM72D,30.69804274,1.836606029,0.387424726,1.20E-07,2.67E-06
RNVU1-14,62.7733804,-1.48051628,0.345524508,2.70E-06,3.53E-05
LOC107985594,21.43483559,2.137801735,0.468098572,2.18E-07,4.37E-06
RNVU1-6,11.57685293,-1.247606508,0.285311463,1.95E-06,2.72E-05
LINC01719,24.15048179,1.825516296,0.396497955,2.30E-07,4.57E-06
LOC105371254,5.735012928,1.3708059,0.45479331,0.000239135,0.001411854
HYDIN2,53.45585954,1.448112066,0.495423143,0.000208732,0.001262472
RNVU1-8,3.663686752,-1.344807124,0.411015585,0.000143533,0.00093574
NBPF13P,141.9486195,-1.123537278,0.360999716,0.000346387,0.001908972
LINC00624,4.037174965,1.25154762,0.733019921,0.005916733,0.019238391
BCL9,203.60447,1.427371639,0.261187739,3.79E-09,1.45E-07
GJA5,52.79940806,1.0602,0.336755422,0.000210407,0.00126973
RNVU1-7,756.0573333,-1.186015674,0.175211567,2.62E-12,2.50E-10
PDE4DIPP1,4.818218515,-1.113418207,0.393754917,0.000742083,0.003573275
LOC101927468,7.303104559,1.602002502,0.592872153,0.00040078,0.002152479
LINC02806,4.247181523,5.318344108,0.644886381,0.000131462,0.000873529
LOC105371225,1.62515233,3.407104617,0.817308312,0.00134187,0.005770388
PDE4DIPP6,121.9722948,1.002754668,0.203701044,1.48E-07,3.19E-06
LOC107985525,42.06201059,1.053377877,0.235729589,1.26E-06,1.89E-05
LOC105371223,4.678520662,1.136011156,0.399790755,0.000646897,0.003202832
H2BC18,189.9444502,1.429471932,0.312445562,3.81E-07,6.93E-06
H3C13,10.16623939,2.003432757,0.555280609,1.58E-05,0.00015238
H4C14,134.2076323,1.620431773,0.309311009,1.11E-08,3.67E-07
H3C14,35.16388466,2.656283238,0.463392535,3.61E-10,1.89E-08
H2BC20P,14.28412471,1.500132572,0.332130777,5.36E-07,9.24E-06
H3C15,34.76672525,2.711467173,0.461659254,1.56E-10,9.18E-09
LOC112268238,68.72037113,1.361442868,0.333102147,3.59E-06,4.46E-05
H4C15,130.7809448,1.615410895,0.314055621,1.84E-08,5.62E-07
MTMR11,174.3317391,1.411871676,0.33845516,2.39E-06,3.18E-05
LOC105371427,11.74704765,1.410461864,0.322458593,1.26E-06,1.89E-05
ECM1,193.1066039,-1.558593568,0.314983852,1.11E-07,2.51E-06
MCL1,6436.334172,-1.092956807,0.181400168,3.70E-10,1.93E-08
MLLT11,70.89845602,1.660322801,0.468996577,2.03E-05,0.000186248
RFX5,489.7051309,1.087171046,0.157022604,6.64E-13,7.30E-11
TDRKH,108.8899687,1.186867137,0.187825907,3.32E-11,2.39E-09
TDRKH-AS1,4.020267339,1.248370232,0.476636018,0.001038408,0.00469388
C2CD4D-AS1,134.0314188,1.016439044,0.262598758,1.64E-05,0.000157005
S100A10,449.2712525,1.191224942,0.239643596,7.67E-08,1.86E-06
S100A12,9.064236061,-2.075197501,0.652509708,0.000155553,0.000998756
S100A8,115.2039357,-1.224427502,0.529871536,0.003042988,0.011217079
NPR1,117.329777,-1.014304109,0.202532276,1.30E-07,2.87E-06
AQP10,1.283014359,3.12102592,1.262333965,0.011559716,0.032987193
KCNN3,63.16887244,1.288114051,0.269516684,1.83E-07,3.80E-06
LENEP,4.483842634,1.499797041,0.592902948,0.000849951,0.003986573
EFNA4,26.75092054,1.24519036,0.25796859,1.62E-07,3.44E-06
EFNA3,11.67712514,1.123693077,0.428746652,0.000939572,0.004319482
ENTREP3,50.79337789,1.07009567,0.228532703,4.30E-07,7.69E-06
MEX3A,51.90415396,1.515295399,0.475412252,8.27E-05,0.000600479
MIR9-1HG,7.526106155,2.279820881,0.466204881,2.57E-05,0.000227092
IQGAP3,238.2732915,4.256846553,0.291903072,1.17E-49,2.93E-45
BCAN-AS1,136.5006533,4.139200652,0.42692641,6.07E-24,1.17E-20
BCAN,32.63360143,3.590918379,0.399796715,9.62E-21,8.94E-18
CD5L,859.5121442,-2.038646266,0.50527967,6.69E-06,7.54E-05
SPTA1,13.8179267,3.086924549,0.614699173,2.77E-05,0.000242408
LOC107985215,28.93125943,-1.557581824,0.474849871,0.000133343,0.000881479
APCS,7821.530218,-1.468806311,0.414841005,5.62E-05,0.00043483
LINC01133,13.00931465,1.244477815,0.751390357,0.005130113,0.017108557
KCNJ10,43.70108165,-1.134867906,0.314295969,5.78E-05,0.000444798
VANGL2,21.37255,1.355403163,0.61853585,0.001612823,0.006695304
CD244,46.82348487,-1.314720347,0.294899886,1.37E-06,2.02E-05
ITLN1,21.71655285,-1.457316515,0.496640416,0.000441871,0.002338624
ITLN2,11.42896212,1.018783859,0.540388762,0.006060698,0.019622584
NECTIN4,4.753283325,1.22216731,0.654158661,0.010490163,0.030525244
MPZ,39.58394645,1.256615438,0.430425878,0.000291174,0.001659352
FCGR3B,106.8186844,-1.130459621,0.361330573,0.000325926,0.001817765
FCGR2B,253.6260222,-1.016642021,0.334020364,0.000499422,0.00258328
OLFML2B,92.83186387,1.70704129,0.415183235,2.07E-06,2.86E-05
RGS5-AS1,5.549017666,1.561291103,0.426455129,2.51E-05,0.000222399
NUF2,79.67120476,3.935852593,0.470993238,1.52E-18,7.20E-16
TMCO1-AS1,15.28678791,1.354257277,0.409730674,7.89E-05,0.00057737
UCK2,292.7887779,1.026170568,0.254795823,8.33E-06,9.01E-05
LOC112268276,29.58287307,1.016504043,0.281728858,4.82E-05,0.000384507
LINC01675,2.48746217,1.760499567,0.76104528,0.00132969,0.005730775
ILDR2,128.3561962,2.343556935,0.508336532,1.25E-07,2.75E-06
MAEL,5.788816686,4.425808463,0.713663821,0.001009781,0.004587622
TBX19,38.68849283,1.093709477,0.282854614,1.47E-05,0.000144097
LOC100505918,38.72993269,1.086190845,0.574753078,0.004913493,0.016517866
LOC101928565,54.57885826,1.515441224,0.364097099,2.18E-06,2.96E-05
XCL1,23.64964929,1.304096044,0.568895873,0.001394648,0.005959556
LINC01681,9.364847338,4.358337799,1.370362379,4.07E-06,4.98E-05
LINC01142,6.708303004,8.001567211,2.956745327,1.03E-05,0.000107086
GORAB,221.8308858,1.070134197,0.171355525,6.40E-11,4.28E-09
PRRX1,62.88642336,1.204881515,0.584398292,0.002694341,0.010137412
FMO1,37.4108835,2.410288791,0.556544297,4.78E-07,8.40E-06
DNM3,310.0297318,1.166900877,0.191524346,1.39E-10,8.33E-09
SLC9C2,8.41663766,1.212563449,0.450473972,0.000708648,0.003452026
TEX50,5.258919565,1.33768005,0.696110311,0.003268567,0.011891384
ANKRD45,15.34750276,1.795635509,0.496942513,1.59E-05,0.000152489
CENPL,69.41912104,1.880144616,0.317219304,1.69E-10,9.84E-09
BRINP2,3.257390773,-1.859541356,0.490585943,1.61E-05,0.000154212
AXDND1,9.514765118,1.917329164,0.363565604,3.52E-05,0.000296658
NPHS2,1.529585128,1.189565954,1.195093501,0.016340101,0.043437421
TDRD5,6.143227523,3.327815523,1.253669408,0.000141377,0.000924049
LHX4,83.38791716,1.180905732,0.23291118,5.00E-08,1.30E-06
LHX4-AS1,25.9156935,1.167123121,0.247821149,3.42E-07,6.34E-06
LOC107985230,9.191724241,1.31203743,0.347798888,1.81E-05,0.000169832
KIAA1614-AS1,10.30384003,1.043380934,0.341553663,0.000345791,0.001906107
LOC107985233,34.50862295,1.052204084,0.531262192,0.004485978,0.015312498
TEDDM1,5.843428303,1.086699838,0.449489052,0.002055531,0.008133952
LAMC1,2267.857161,1.194811969,0.229464463,2.21E-08,6.54E-07
PTGS2,133.6434756,-1.000718662,0.436995283,0.004296164,0.014815744
LOC105371657,14.4743834,1.123415658,0.964654857,0.010259655,0.029969181
RGS21,5.237744001,4.329270718,1.199826952,2.35E-06,3.15E-05
LOC105371664,20.35028292,3.574009673,0.718976944,1.60E-08,5.00E-07
LOC107985241,4.962321568,2.207505545,0.756674189,0.000156355,0.001002622
RGS13,16.3424745,2.737898342,0.638540207,6.28E-07,1.05E-05
LOC107985242,100.755914,1.251123883,0.41582744,0.000218847,0.001312452
LOC105371670,2.791176609,1.003493729,0.869187293,0.017870673,0.046699742
CFHR3,4827.847537,-1.401127006,0.411149179,9.65E-05,0.000682136
ASPM,952.3558562,3.941995797,0.406466296,5.31E-24,1.11E-20
KIF14,195.0966922,2.997112932,0.359707296,2.31E-18,1.07E-15
INAVA,85.53035639,2.901336023,0.480904755,4.62E-11,3.18E-09
MROH3P,5.613300862,2.719389648,0.731145821,1.01E-05,0.000105857
PKP1,4.702793954,2.3660799,0.911984945,0.006183316,0.019912569
UBE2T,48.22987396,2.983971129,0.430363175,1.43E-13,1.91E-11
ACTG1P25,12.61318018,1.118176196,0.497489566,0.002381125,0.009146844
PPFIA4,14.57267888,1.048031836,0.600555531,0.007010689,0.022002776
ADORA1,10.09969098,1.519462399,0.675685083,0.00118035,0.005205155
CHIT1,10.2409081,1.469105948,0.68520226,0.000413906,0.002209729
LINC00628,3.23173075,1.316048964,0.630143455,0.003073108,0.011305226
TRK-TTT3-1,1.070365827,-4.490016873,1.151727575,0.002544731,0.009680473
KLHDC8A,2.658931313,1.171503986,0.725355722,0.009041777,0.027065278
CTSE,12.12250008,1.040937119,1.114897581,0.015382492,0.041376242
RHEX,29.96735583,2.560810224,0.60038891,0.000183154,0.001135864
LOC105372857,28.15634679,3.413433675,0.614165735,3.53E-06,4.41E-05
FAM72A,33.7254227,1.431624701,0.399690074,2.49E-05,0.000220727
IKBKE,76.14814436,1.071387823,0.271083274,1.07E-05,0.000110321
CR1,318.9336415,-1.194195322,0.349462593,0.00011269,0.000770468
CR1L,11.71955316,-1.201725497,0.292160845,6.54E-06,7.39E-05
CD34,216.5504735,2.001718762,0.266189234,3.06E-15,5.95E-13
LAMB3,174.1777791,1.097666397,0.450906004,0.001462886,0.006190008
G0S2,387.2456881,-1.494286724,0.469689372,0.000197786,0.001210811
SERTAD4,8.565492418,1.671233137,0.609694312,0.000353591,0.001941046
KCNH1,21.594429,1.031624324,0.321274132,0.000192828,0.001185019
TRAF5,280.207649,1.220742492,0.245767679,7.42E-08,1.81E-06
NEK2,83.90869385,4.403964461,0.481314605,1.27E-21,1.52E-18
DTL,168.8357588,3.234745698,0.42821581,1.05E-15,2.32E-13
ATF3,455.0716559,-1.211968839,0.280331372,2.85E-06,3.70E-05
FLVCR1-DT,23.88945081,2.045385641,0.420140244,5.91E-08,1.50E-06
FLVCR1,285.9142928,1.542305083,0.222870766,3.43E-13,4.02E-11
VASH2,54.0412327,2.340463566,0.336303468,1.50E-13,2.00E-11
PTPN14,492.1713997,1.228374331,0.304211856,5.42E-06,6.33E-05
CENPF,984.8152838,4.493773393,0.440042404,2.56E-26,6.43E-23
USH2A,251.0155731,-1.167896126,0.341736113,0.000115634,0.000785669
TGFB2,111.9866267,1.408043412,0.459812249,0.000143977,0.000937946
TGFB2-OT1,18.66678281,1.179050836,0.489333044,0.001384367,0.005919656
LYPLAL1-DT,7.099733535,1.422417417,0.384541656,2.26E-05,0.000203286
LOC105373475,7.613311136,1.089939225,0.351052512,0.000278655,0.001604778
LOC107985462,31.57703614,-2.800127749,0.669618973,3.50E-06,4.37E-05
LINC01655,0.868545022,3.790237867,1.164279059,0.013756166,0.037864165
LINC01705,7.907763888,2.25977425,0.444439229,0.000156665,0.001003839
SEPTIN7P13,148.1326279,1.019259611,0.191578028,1.71E-08,5.25E-07
LOC101927143,3.414821449,-2.073840453,0.490116354,2.38E-06,3.18E-05
CNIH3-AS1,4.182072256,1.722856953,0.584523433,0.000231529,0.00137276
DNAH14,792.5919237,1.331735776,0.213174654,3.99E-11,2.79E-09
ENAH,1330.450529,1.489102298,0.219197266,8.89E-13,9.45E-11
LOC102723834,4.976686592,1.786214736,0.497895253,2.96E-05,0.000255847
LINC01703,2.841664043,1.362426473,0.728828517,0.004401268,0.015099345
LIN9,94.36386426,1.573299629,0.255523546,5.45E-11,3.70E-09
LOC105373116,82.50833848,1.070065953,0.692931208,0.008321521,0.025346396
LOC105373122,3.460233125,2.598135442,0.862777586,9.53E-05,0.00067366
ZNF678,391.9341431,1.196014185,0.219126287,5.57E-09,2.03E-07
LINC02809,15.2618874,1.134623512,0.382494526,0.000349873,0.0019248
TRIM17,24.33395762,1.650691738,0.365609875,4.41E-07,7.86E-06
H2BC26,5.512231431,1.015873029,0.569777928,0.008294951,0.02527774
DUSP5P1,8.814138208,5.312987189,1.149088695,1.40E-08,4.51E-07
LINC01682,1.670096082,6.484837529,2.635648396,0.000474134,0.002475443
LOC105373163,7.337628667,3.738382631,0.867163574,2.64E-07,5.14E-06
CAPN9,8.673707674,1.136577637,0.594671796,0.004768546,0.01612348
TRIM67,8.507836818,1.130404988,0.311492743,4.37E-05,0.00035403
MAP10,119.4367407,1.107693938,0.235654922,3.46E-07,6.39E-06
PCNX2,177.7582198,1.385930467,0.299551811,3.08E-07,5.80E-06
